"StockName","TotalScore","AverageStability","AverageGrowth","DailyStability","WeeklyStability","Growth15Session","Growth30Session","Growth100Session","Growth200Session"
"GATI.NS","83.76190476190476","96.0952380952381","71.42857142857143","58.095238095238095","121.42857142857143","50.0","85.71428571428572","50.0","100.0"
"LGBFORGE.NS","83.7101392685149","104.59976571651698","62.82051282051282","53.80710659898477","138.46153846153848","38.46153846153846","50.0","100.0","0.0"
"ARCHIDPLY.NS","83.65777080062796","101.93092621664051","65.38461538461539","58.673469387755105","130.76923076923077","46.15384615384615","50.0","100.0","0.0"
"ARROWTEX.NS","83.63916391639164","111.72277227722772","55.555555555555564","69.3069306930693","140.0","33.333333333333336","33.333333333333336","100.0","0.0"
"STARPAPER.NS","83.5","112.0","55.0","50.58823529411765","152.94117647058823","60.0","50.0","0.0","0.0"
"ASHIMASYN.NS","83.48062670044095","101.50670794633643","65.45454545454545","59.64912280701754","129.41176470588238","36.36363636363637","60.0","100.0","0.0"
"AROGRANIT.NS","83.44736842105263","111.89473684210526","55.0","69.73684210526316","140.0","60.0","50.0","0.0","0.0"
"MAITHANAL.NS","83.31111111111112","94.4","72.22222222222223","56.0","120.0","50.0","66.66666666666667","100.0","0.0"
"KEC.NS","83.29563148410574","98.07274444969295","68.51851851851852","48.630136986301366","131.03448275862067","55.55555555555556","50.0","100.0","0.0"
"HITACHIHO.NS","83.26190476190476","98.66666666666667","67.85714285714286","53.8095238095238","128.57142857142858","50.0","71.42857142857143","50.0","100.0"
"MAWANASUG.NS","83.1626984126984","95.4920634920635","70.83333333333333","58.73015873015873","120.0","37.5","75.0","100.0","0.0"
"SUNCLAYLT.NS","83.0952380952381","87.61904761904762","78.57142857142857","40.476190476190474","119.04761904761905","42.85714285714286","71.42857142857143","100.0","100.0"
"SHILPI.NS","83.03790412486065","116.07580824972129","50.0","59.42028985507246","153.84615384615384","50.0","50.0","0.0","0.0"
"ASIANTILE.NS","83.00006315523558","98.37192118226601","67.62820512820514","54.679802955665025","127.5","53.84615384615385","66.66666666666667","50.0","100.0"
"PEARLPOLY.NS","82.98056677367023","101.14631873252563","64.81481481481482","61.486486486486484","127.58620689655172","44.44444444444444","50.0","100.0","0.0"
"RKFORGE.NS","82.70392476035451","98.74118285404234","66.66666666666667","49.48453608247422","131.57894736842107","66.66666666666667","66.66666666666667","0.0","0.0"
"EVEREADY.NS","82.4047619047619","89.80952380952381","75.0","49.52380952380952","116.66666666666667","42.85714285714286","57.142857142857146","100.0","100.0"
"FILATEX.NS","82.39473684210526","109.78947368421052","55.0","64.47368421052632","140.0","60.0","50.0","0.0","0.0"
"VINDHYATE.NS","82.25","97.83333333333334","66.66666666666667","50.833333333333336","129.16666666666669","50.0","50.0","100.0","0.0"
"SHREYAS.NS","82.16102181400689","102.78358208955224","61.53846153846154","58.2089552238806","132.5","46.15384615384615","50.0","50.0","100.0"
"MOTILALOF.NS","82.15744677128711","91.16674539442607","73.14814814814815","52.054794520547944","117.24137931034483","44.44444444444444","75.0","100.0","0.0"
"PFS.NS","82.10714285714286","94.57142857142858","69.64285714285714","54.285714285714285","121.42857142857143","35.714285714285715","42.85714285714286","100.0","100.0"
"WEBELSOLA.NS","81.99361430395913","99.17241379310344","64.81481481481482","56.55172413793104","127.58620689655172","44.44444444444444","50.0","100.0","0.0"
"SHAHALLOY.NS","81.76568999819136","105.1980466630494","58.333333333333336","57.73195876288659","136.84210526315792","50.0","66.66666666666667","0.0","0.0"
"SARLAPOLY.NS","81.62881859962152","98.44282238442823","64.81481481481482","62.77372262773723","122.22222222222223","44.44444444444444","50.0","100.0","0.0"
"EMAMIINFR.NS","81.48255813953489","87.96511627906978","75.0","51.162790697674424","112.5","50.0","100.0","0.0","0.0"
"IGPL.NS","81.33130081300813","87.66260162601625","75.0","50.40650406504065","112.50000000000001","50.0","75.0","100.0","0.0"
"RADAAN.NS","81.19956966110811","100.58095750403442","61.81818181818182","65.08875739644971","124.24242424242424","45.45454545454546","40.0","100.0","0.0"
"DALMIAREF.NS","80.95104510451046","106.34653465346534","55.555555555555564","63.366336633663366","135.0","33.333333333333336","33.333333333333336","100.0","0.0"
"IFBIND.NS","80.91666666666666","99.33333333333333","62.5","59.047619047619044","126.19047619047619","42.85714285714286","57.142857142857146","50.0","100.0"
"PDUMJEIND.NS","80.86666666666667","128.4","33.333333333333336","66.0","170.0","66.66666666666667","0.0","0.0","0.0"
"JAGSNPHAR.NS","80.66883116883116","106.33766233766234","55.0","55.84415584415584","140.0","60.0","50.0","0.0","0.0"
"SMPL.NS","80.58247066942718","102.43478260869564","58.730158730158735","53.91304347826087","134.78260869565216","42.85714285714286","33.333333333333336","100.0","0.0"
"MRO-TEK.NS","80.46686746987952","125.93373493975903","35.0","71.0843373493976","162.5","20.0","50.0","0.0","0.0"
"KNRCON.NS","80.46448087431695","81.76229508196722","79.16666666666667","60.65573770491803","95.83333333333334","62.5","75.0","100.0","0.0"
"KRISHNAEN.NS","80.28985507246377","110.57971014492753","50.0","84.78260869565217","127.77777777777777","33.333333333333336","66.66666666666667","0.0","0.0"
"AHMEDFORG.NS","80.28571428571428","96.28571428571428","64.28571428571428","51.42857142857142","126.19047619047619","50.0","57.142857142857146","50.0","100.0"
"MANGTIMBE.NS","80.16666666666667","114.50000000000001","45.833333333333336","55.0","154.16666666666669","37.5","0.0","100.0","0.0"
"MBLINFRA.NS","80.10714285714286","97.71428571428571","62.5","58.57142857142857","123.80952380952381","57.142857142857146","42.85714285714286","50.0","100.0"
"BBTC.NS","80.03810560696787","98.25802939575394","61.81818181818182","59.281437125748496","124.24242424242424","45.45454545454546","40.0","100.0","0.0"
"KOVAI.NS","80.00365096750639","91.5224534501643","68.48484848484848","46.98795180722892","121.21212121212122","45.45454545454546","60.0","100.0","0.0"
"GABRIEL.NS","79.89285714285714","100.85714285714285","58.92857142857143","62.857142857142854","126.19047619047619","42.85714285714286","42.85714285714286","50.0","100.0"
"KAVVERITE.NS","79.8581560283688","93.04964539007094","66.66666666666667","65.95744680851064","111.11111111111111","33.333333333333336","100.0","0.0","0.0"
"BLUECHIP.NS","79.85003315849762","95.81117742810635","63.88888888888889","97.42268041237112","94.73684210526316","58.333333333333336","33.333333333333336","100.0","0.0"
"EXCELINDU.NS","79.66525130838353","97.79204107830552","61.53846153846154","57.89473684210526","124.39024390243902","46.15384615384615","50.0","50.0","100.0"
"TAINWALCH.NS","79.50201207243461","84.00402414486922","75.0","49.29577464788732","107.14285714285715","50.0","100.0","0.0","0.0"
"REGENCERA.NS","79.49633699633699","133.99267399267399","25.0","56.410256410256416","185.71428571428572","50.0","0.0","0.0","0.0"
"NCC.NS","79.17857142857142","99.42857142857142","58.92857142857143","62.857142857142854","123.80952380952381","42.85714285714286","42.85714285714286","50.0","100.0"
"WEIZFOREX.NS","79.08556149732621","96.3529411764706","61.81818181818182","60.0","120.58823529411765","45.45454545454546","40.0","100.0","0.0"
"ALKYLAMIN.NS","78.97311104207657","93.1314072693383","64.81481481481482","46.62162162162162","124.13793103448275","44.44444444444444","50.0","100.0","0.0"
"SKMEGGPRO.NS","78.96753246753248","112.93506493506496","45.0","62.33766233766234","146.66666666666669","40.0","50.0","0.0","0.0"
"EMKAY.NS","78.67245657568239","90.6782464846981","66.66666666666667","62.17948717948718","109.6774193548387","40.0","60.0","100.0","0.0"
"SIMPLEXIN.NS","78.64714714714715","93.40540540540542","63.88888888888889","55.13513513513514","118.91891891891892","41.66666666666667","50.0","100.0","0.0"
"GLOBOFFS.NS","78.61904761904762","92.95238095238095","64.28571428571428","46.666666666666664","123.80952380952381","50.0","57.142857142857146","50.0","100.0"
"AURIONPRO.NS","78.21736889576086","93.6142249710089","62.82051282051282","53.26633165829145","120.51282051282053","38.46153846153846","50.0","100.0","0.0"
"PRITHVISO.NS","78.0","81.0","75.0","52.5","100.0","50.0","100.0","0.0","0.0"
"LLOYDELEN.NS","77.87083333333334","89.075","66.66666666666667","54.6875","112.0","50.0","50.0","100.0","0.0"
"CCL.NS","77.86904761904762","93.23809523809524","62.5","50.95238095238095","121.42857142857143","57.142857142857146","42.85714285714286","50.0","100.0"
